nombre,categoria,latitud,longitud,servicios,ciudad,imagen1,imagen2,imagen3,imagen4,descripcion,rating,habitaciones
Hotel Aguazul Plaza,Hotele,5.1704521,-72.5516863,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlVv_OBTE3elDfmdlw6dzTUwJ03CrXJU-R-3fLXpoj0GXEwdf9hANAthAAkw6Gd0jOnL1Kt8C6kKkoPRdG4DuK37vkYjq5yritTYd-eII084ZMVDp99eYwiDjyWLlhUp_ci_EK5VQ=w408-h408-k-no,,,,"Hotel Aguazul Plaza es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.6,2
CENTRO VACACIONAL & HOTEL CAMPESTRE LAGO CENTER,Hotele,5.1573885,-72.5477601,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlwJkXHsgubRCORiqJFC5wQpxSd18DiIVITgdwo4Nyhs3fbqFoXswrOrIfngwJifuGMWNt-Xn6KpM4u6hfDiCljnbvcLnSz2KBzbs0GaeQdec2_VWiHeJx9EYA4LE0wZ20469ma=w408-h272-k-no,,,,"CENTRO VACACIONAL & HOTEL CAMPESTRE LAGO CENTER es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.2,2
WISIRARE LODGE,Hotele,5.1920138,-72.3145411,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkiU3N9tk00sfOAit_2Pl7shbfcU5ZwPgk5b_mzoi2ZauR8QSyirE_dSfFPxbDG_PJRfLU_mQBuKkgY2wujmzkiV-JKoMFVpXPH1zlGSUNdsAKhSCMLcpcDuHLAwvA7EPlwr-QcoAGxzuFd=w426-h240-k-no,,,,"WISIRARE LODGE es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.8,3
Hotel Los Potrillos,Hotele,5.1723659,-72.5487784,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk6YCPXVcw6Hf72fhaGy-ah3j4Z34cFOjAVg6YKqVTIxkcc-HHUAp4v6o7RAmMj0Y_qDd_8hQFu2AT0uHaRVr-wQqsDpKk-6Cww0x1P7EYwGadKdAV_Yg3DI8HpaMnuEs_j2j1BdIaVbKgK=w408-h544-k-no,,,,"Hotel Los Potrillos es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,3
Hotel Orquidea,Hotele,5.1717141,-72.5512966,,Aguazul,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGsaPvd5TE6_esxL21D2pZwBZnBbymY47Sn9vd02FOoH1NvJbBu_7Nbo71IpH5CflWDSm0-_EnLzgwSLiwdG6BVF2nTr75jxXu9rPqQvrVyTO4Wz3FHErV2NpUDjk3l1TKdAthNDBwnda4MRC5QQJAGmUTqyDr-1UAJqvkrCk3qezFi8_MDdB6M=w408-h300-k-no,,,,"Hotel Orquidea es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.2,2
Hotel Herblan,Hotele,5.1715974,-72.5495701,,Aguazul,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlXER3IiPzmapsR2QybT5HKc-3WHCRh54ORYlhlptLNVdNVvYTq0BrbeXBgNb9ces_R-VeXLzUlGO7oN3J8nLaeR9-rh_luXMKmn6lwplHVsjAZtyEAAAUV19ocwX70rjgC3NMZUAmsmBUj=w408-h544-k-no,,,,"Hotel Herblan es un alojamiento ubicado en Aguazul, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.2,2
Hotel Versalles,Hotele,4.61458,-72.9324221,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnY99ffb4AK0KsuYZ03QSq2BZfL5dzprxgGMWVVFKNcQHLCjr_77ElHGYLXuHlZRf4dxuEsyzUJX8p1A7DQ3r30wX5Z03hSf76MzZKaN4foCeX2H6YRWrx_7WQybW6D5UReunCe=w426-h240-k-no,,,,"Hotel Versalles es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,2
Hotel Marlus Plaza,Hotele,4.6110123,-72.9307401,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk4_m8BI5bFXTL1ceGjqG14NzlGnqranncXg-HrOJTBUsjbgWOxyCYa63F-ZP5-v-7geQj-qA24hqTtBP0A2IxHiJn8aaVxfhnRPcr4haEtocyaZpnrs8nXpzJ179M0_vZ05US5Vw=w408-h627-k-no,,,,"Hotel Marlus Plaza es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,2
HOTEL REAL SANTA INES,Hotele,4.6099518,-72.9325089,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk-lojAH-BIdzLRssW5yZxhCv1IHv0YfLZd7NkgF2hPkVeBz0wR5evXvN3BQ-9kWbg-GbyZDHE-J57KElnqzUXhbpoJQnCCdA4nAXuLc0qOG5mt9Nhu0tzATtp4JjvSzUhbLNY=w408-h612-k-no,,,,"HOTEL REAL SANTA INES es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,2
Glamping y cabañas El Maná,Hotele,4.6576365,-72.9399749,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmWMQMRbn_-y9zde6h8nEJmaRH6RJWyBI6UDSlA22BVvCmJYNnmloHqZ0AJOhEnvpRB2MOr7xcMLISMRq-l_EfruY0d_AdDbbRitH-uDGDTSgXvhdRtihdHqT1S9osy7AlC82qMYA=w408-h306-k-no,,,,"Glamping y cabañas El Maná es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.6,2
Balcon De La Villa,Hotele,4.6112169,-72.9275218,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlk4kCFYGfTsJJTAX_MwKwqchoqlXU_uRpgVH_2n8cCHmQU1vvVu7VUUmYsWVDNdkd56I3UOtw4CEuGVPJUZ_XlKEKdmNVU-qrNkgJfXfMcZgvDAkepdaMZDhxyA9DRDn61PlM7=w424-h240-k-no,,,,"Balcon De La Villa es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,2
Hotel Pacande del llano,Hotele,4.6081656,-72.9262828,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnPM9w0GECr9wNZGxocqlNDYouQ-mHCOwwtaSayEVva7X1-xcKlVscLTYSaErhNwUV9zECfPGmpID99fzLEglaSYb4tN7n0IdDjqvdokQ1A9PV1CbFlJ4hhcH20KGv-PB1v8Zyt=w408-h306-k-no,,,,"Hotel Pacande del llano es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.8,2
Eco Hotel Tekuani,Hotele,4.6042592,-72.9222921,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkdQFD6iIs5JNA_jbPEG90L5j9EmS75w_v0RZpg0UIuJU8iYm-GFsXzmfeqhxFnbUx6lXqg5Fhd8LhUeY1YYWjpjEfkrVi7MlnSBxuxUlbBxAF_4fAiqJ8SsLTpQ0M21Lzt9uQk_6cb6UWC=w408-h307-k-no,,,,"Eco Hotel Tekuani es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.9,2
Hotel Joshua Esteban,Hotele,4.6102113,-72.9299349,,Villanueva,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk8jVr1FeAjGD0eWsu8JuKGqwCteaiQBqhFqQOe-KqyXQ6A_s96rnpkZCF99yYODPMAkiob2Z5KNp5zRe54foMhJnhPUFk1PH6RCr22YIIRK-J89t287IujJitt4dnVePMtT1TI=w408-h723-k-no,,,,"Hotel Joshua Esteban es un alojamiento ubicado en Villanueva, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.0,2
Hotel la Casona Tauramena,Hotele,5.0138508,-72.7476017,,Tauramena,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn5QRrZ7CsHruZ295TnL3ZW7GSWYYK5RYMq4HMMGgkhu5vTVgi5FzPV1890qRxH_7QmoKD-UsV6geRyW5aRdsbhxuoM0KNBS9ETBkbrhz2Vwbk6_6Pf47qesJOkd8blQmVqx01rnJU9Eixf=w408-h544-k-no,,,,"Hotel la Casona Tauramena es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.6,4
Hotel Cacique Mena,Hotele,5.0145221,-72.7525074,,Tauramena,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnuTfZXC8vQ1Rkwtbsg6NWjjEz8xLcJKyKGYKHk8y9kvlZRFF5-14l0W9QtXT1oEW6AfbCgf-d4YFfl057ozUd1M7wowKqiCw01H5Gpg6o3sGgV24MOVSW_qmULwoej57mvuMcDRpELjzIv=w408-h541-k-no,,,,"Hotel Cacique Mena es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,4
Hotel Paso Real,Hotele,5.0153998,-72.7517978,,Tauramena,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIVUt2Kvt3arG4qrta7wsusYyAcJkGv9mmOmkZMGZW2JMcOPuGg-yY3ysL_9Rxn8UvVwPQIfgV2Z9P2VmrmDA09Z9JJw2_xoSViA_Xr8ggbZkNaWJnZmp_1FaIEoGYNggx9ds8=w408-h313-k-no,,,,"Hotel Paso Real es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,4
Hotel Palmarito Tauramena,Hotele,5.0174586,-72.7476495,,Tauramena,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlcbS1LrcWMdr0jWlohPKKsN2GfNhQTp-RCrHuWgs_Mp4Pf85qdvDM6BQh3KNMvbKLbPVR_PxN0LQP6ghvM1TPTeGWM4czKTq1pqrAVjDb8jundj593wC1kRG6gZGhJ6yIEgE_S=w426-h240-k-no,,,,"Hotel Palmarito Tauramena es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.6,4
Hotel Dayus,Hotele,5.0175116,-72.7526447,,Tauramena,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmS_qE6GEGkVpqgrQnK5KqQwfXWdk0yfGvuU6Phl83ZXkiQMfHPjBYMbiU0UcxXMa-Pppj1J7A3gTa_tbOYoqZIXvqPWTnnevZcZQBlIGMHMtpTemizjHStxIH0yKfIQCXqdA0P=w408-h500-k-no,,,,"Hotel Dayus es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,4
HOTEL CAMPESTRE VILLAS DE SANTA RITA,Hotele,5.025489,-72.7506485,,Tauramena,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnx989PmoRcHWxM4RNYDWlwW0pNOw3lZEMnMw_v9YV5d7jV6lvWh5qb1UDT47GgwhOwVJscbor3NuBh6-i-TZ-JlPB3_HvZf-_41wQ7GUrPqRs3uHCj6BE6iaxsXQrRrt7kS-M=w408-h306-k-no,,,,"HOTEL CAMPESTRE VILLAS DE SANTA RITA es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.5,4
REFUGIO ALVERA TAURAMENA - HOTEL Y HOSPEDAJE,Hotel,5.023646,-72.748483,,Tauramena,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=im9w7s76OyT4NhkNoxB2Cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.0368&pitch=0&thumbfov=100,,,,"REFUGIO ALVERA TAURAMENA - HOTEL Y HOSPEDAJE es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",5.0,
Hotel Yaguazos,Hotele,5.0163948,-72.7511781,,Tauramena,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG2hFMnMCfp8d56i3ljoR4OHBl-BKbNf063ZhBhHPMnvBYcpN0OcRNKoNf_8YGKrn8K1Jb8jmDECxD_xAjuPYmAXYNWIvQScCV4WUsSUkJc_2QgI78yTQMQzGMfNg3FN4WDseU58wKCwv20iNEfefA0d05Tcck9LC7fDnjbXScuG_r0GyFlO7s=w408-h380-k-no,,,,"Hotel Yaguazos es un alojamiento ubicado en Tauramena, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.2,4
Hotel en Monterrey Casanare | Montserrat Plaza,Hotele,4.8846292,-72.8949618,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn6RHdWHSKwVp03v4AYTBjV8_AkQ7JaEUFyxN5OhZPOdhxxWMskRK_sY2Pfxvg-yvPTpov2j58q0daIXDlnXLHO9_vjPK4opuwcYVwuTYdwWjW5nQkkOsZxEvF7wvn7xgdlDbWY=w408-h272-k-no,,,,"Hotel en Monterrey Casanare | Montserrat Plaza es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.5,2
Hotel San Pedro,Hotele,4.879833,-72.8928387,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl5V1-8oGMgvNrC0IpXfar_5SK4a2STHHeqj0A7x8GdogMBSUKXR4XGYBQOjVe4lL-lxFE9cQ1Lmcc0lQydbsioOvlWzekD3KLD5HKqjC9nhZ31oP5NBvU3nrDmMtjElDaFf3YuW4KnBmc=w408-h306-k-no,,,,"Hotel San Pedro es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,2
Hotel: Casa turistica Portones del mirador,Hotele,4.8765402,-72.9003901,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnZMnBtAq7OCYCflcA2s15DLWQ5x8sTUtcjOONRR29Z8jov6GPIxLGSRju4gQUdL79uq2u9xxlzWzZwQI8d_RUpzWqcPXil8QuMWEArW3sJ-uuY2jDNY-9Evk1C86KYCDjOMh4S9I2LZU3c=w408-h306-k-no,,,,"Hotel: Casa turistica Portones del mirador es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.8,2
Hotel Posada Campestre San Juan,Hotele,4.8788343,-72.8942793,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmk3C0lTp6_xtq0ACz8Ha5_QJfh315S3X3-6xbM1XdtO64XDtJ_eLPJG06FuPr_nNVbaR0X3XLimHQiLSgWell3JpXdNuOQfvEH6BU1c7GaVpKlN8ihur0TUr3lnpYN2QP5FZP80BNaHjyy=w533-h240-k-no,,,,"Hotel Posada Campestre San Juan es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.5,2
Las Heliconias Centro Agroturistico,Hotele,4.8485949,-72.8917856,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl1tCFbyxfjFEvz-KtGPOZMJaXHX57PltabOKmJ-3R1eO8lxxrloo2xlJzigFMbhTiF2LJCBRslvlTuumhwQpIm6E97mCTQCkbuPrNisdHYagxZW9vBMXdMZxRtBEOJUaD7dII88_8K9R0=w408-h544-k-no,,,,"Las Heliconias Centro Agroturistico es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.5,2
"Hotel Los Lagos Centro Vacacional; Hotel en Monterrey Casanare,",Hotele,4.8689408,-72.8890309,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk8P1PaBG6xZ0yvqOO97uBqYO82tI6ycRKHdzKcu68IMyP1ITGQ6uAk9wsiVMrYrltr4-nFHmgQI4ZEivt0I066r1wETe8D50k8exu4_uVqzRSNj5I_yrwP5BPwLEtzOmya3AdG=w408-h245-k-no,,,,"Hotel Los Lagos Centro Vacacional; Hotel en Monterrey Casanare, es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,2
Hotel Aguamaco,Hotele,4.8864992,-72.8972398,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl--xRSlYpOBGimdy2gQ605gQVdt8H092qzkDPHwblvUTQMlCel7ePhFrZJOoCi2Jk8SGbDbSaoTckVRLAFFnaRFTQvhPZ9I4YuqBsmrg9la40KXHX-_nBRnOTA86yYE77PncGM=w426-h240-k-no,,,,"Hotel Aguamaco es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,2
Hotel Sol De Oro,Hotele,4.883343,-72.894259,,Monterrey,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnCV6U0XeyoTTuz_dPKhbtZNKx1BBp-vI7Ash5rBTTp_aXfU_mI-iB17MgUBBiHsw20oEnQ1EUvzKpq3T5CawiSFKtuNpI2pNI_5iTB6R5oNZ0gfKzhOdAm6Y0wV6vaynbE_j2y=w408-h544-k-no,,,,"Hotel Sol De Oro es un alojamiento ubicado en Monterrey, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.0,2
Leyenda Hotel,Hotele,5.878063,-71.8951852,,Paz de Ariporo,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmQc-NpO9KjNXAcJXL-K8O8qKY7gYM1cjYJ8rMbAiDB1zBgg5NrvkQJqQb3Ud8yOKEj-31u-SyK6TK2wYXwHlBlETvWZgXaOd-GSxCGXWam4KxIVRSw4iO_LtgrAi0RP306JNvJ=w408-h306-k-no,,,,"Leyenda Hotel es un alojamiento ubicado en Paz de Ariporo, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.5,2
Hotel Colonial Sol Y Luna,Hotele,5.8796451,-71.8968353,,Paz de Ariporo,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlrWyF_aqoXF4bRpu-C3Erwb-5K2lKmKqrIlX-ldMx0pD4-hagbnhuwbzVZ7sJnpLCut82mtkQ7tgle8qy0pdEc-7LOQHkztSU1aC7lXZ365vfBWI-JUWnjTRQXV86GxvGMg07E=w533-h240-k-no,,,,"Hotel Colonial Sol Y Luna es un alojamiento ubicado en Paz de Ariporo, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,2
Hotel Danner,Hotele,5.8829123,-71.8935045,,Paz de Ariporo,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm0vWHLb-AygRX0pnlCeKFOKmkJonAVc4TP8oOlvH7ECeOmujqSnXR1hTJFkMPikDaNfmnyKJa34ToXpp4lKhuLfQf0sEPYFhKcjRiS-FuLMP_P3nokGOuq_Yh5u0LiVzlWTmk8uQ=w408-h408-k-no,,,,"Hotel Danner es un alojamiento ubicado en Paz de Ariporo, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,
Hotel Mirador Del Llano,Hotele,5.8806508,-71.9002819,,Paz de Ariporo,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm4gRjTEk9T4XrR5FFGAZMW9_R6V2dzJf9y2M1gkzmKEWdVXOw4vpZ4pD6-vU7_MSFD8IOSMKr_oa8JhkLoSTSlwcWlwEczSAftU7i0KamhWrRV-lBUJZjBgWgeEHPEv2EDaK3K=w408-h544-k-no,,,,"Hotel Mirador Del Llano es un alojamiento ubicado en Paz de Ariporo, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,
Hotel El Tesoro Del Llano,Hotele,5.8775087,-71.8938189,,Paz de Ariporo,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWltOV0knq8Zn1PC_VnygHWGYjtqvoCPtBOe1IYjJ25hkrMuzKOZRhE1y9nf0Yt2dvUO5wLlS_kykMw8hj6XBSpBNbqcid5xZc8C0qEH6F9XW4_klcrzMZvxFv9rbNcDuYK8QDnrWw=w408-h272-k-no,,,,"Hotel El Tesoro Del Llano es un alojamiento ubicado en Paz de Ariporo, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.4,
Hotel Moreno Viejo,Hotele,5.8800367,-71.8954385,,Paz de Ariporo,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl1T2aM_mjAued-4Y-x5XVlBZTVTQQlX-ZBuiXmMiV4uMf9ScqPL4WnsMCrSaz2nq4EK2ZXrIAExMQjjf57wJXI3AflIRrVt3imnKdAKck1Qh0zebc5fx_ke7Zk5GVtTEl_oFFy=w408-h725-k-no,,,,"Hotel Moreno Viejo es un alojamiento ubicado en Paz de Ariporo, Casanare, que ofrece hospedaje para viajeros de negocios y turismo en la región de los Llanos Orientales.",4.3,
